DSMUID,MackConfig,SVID,WNsf,TOWsf,Section 0-index,Mack bits
CIDKR0_DAY0_OP_NOM,0,1,1018,432061,0,AEB32EB084FE0E005A3B02008B220800439961B911A385965273D13BE9AA
CIDKR0_DAY0_OP_NOM,0,1,1018,432061,1,0CE90D00DADA1300D1121400CA5B0F00476E7546D7C11A21C10271DD3EBE
CIDKR0_DAY0_OP_NOM,0,2,1018,432061,0,4DB87EC0E4BB1900DB5A140009C601007060BC9B782753F267CC8D3A0E1A
CIDKR0_DAY0_OP_NOM,0,2,1018,432061,1,CCEE0300BF21120072851500EA260D00BCC3D182A888A3E93D90D4C41183
CIDKR0_DAY0_OP_NOM,0,3,1018,432061,0,034ECDE011700400015E02007B8114001FF86A0FDB10D52A7DCC74E48C44
CIDKR0_DAY0_OP_NOM,0,3,1018,432061,1,A9210A00A81E0900BADB0B00B7FE19003AFE31CBE4209CC16FCFCF4F76BC
CIDKR0_DAY0_OP_NOM,0,4,1018,432061,0,1F111B5055C30900EFFF0300FAD205006135A81FA4B58928D237D365F267
CIDKR0_DAY0_OP_NOM,0,4,1018,432061,1,2C440B009E811A00A0201B0004A810005505BE4FFDDDFFDC3B06AB760A17
CIDKR0_DAY0_OP_NOM,0,5,1018,432061,0,3DF2C36044080A00B7A404004FC6060086D31BAD03FB643AD1900A95053B
CIDKR0_DAY0_OP_NOM,0,5,1018,432061,1,0C420900F4AE17009FC5180082E30B0005F2B8672FBACEF47168A305EB30
CIDKR0_DAY0_OP_NOM,0,6,1018,432061,0,5C44CC3070BE1A00DD7D180081740700267103FB0C8C9F50EE503BC33490
CIDKR0_DAY0_OP_NOM,0,6,1018,432061,1,31E6050066D61600CE0C1100B1570900824E036EEE67A59AAC45C434484C
CIDKR0_DAY0_OP_NOM,0,7,1018,432061,0,C7306EB050AA060061280800C26A1800F2DAC7679562A0A4DF45FE46DCDF
CIDKR0_DAY0_OP_NOM,0,7,1018,432061,1,1AF00E00500B0D00D9210F0094B21A0052800659FD3B9E34B9671129B844
CIDKR0_DAY0_OP_NOM,0,8,1018,432061,0,674B757080390D00426D010055B80700BBC6AC219AE4F75DA9BB1D7D8455
CIDKR0_DAY0_OP_NOM,0,8,1018,432061,1,5A770F000A891900DACE0C00C020170044435119C72305F84EEB5D9D8A2E
CIDKR0_DAY0_OP_NOM,0,9,1018,432061,0,0245672005320A00F0261000E503050044596EAD27B525495666219273B7
CIDKR0_DAY0_OP_NOM,0,9,1018,432061,1,3A8E15008F3E1600EFBD0300B1E41A00909DBD59BBE32560D467A51F8C51
CIDKR0_DAY0_OP_NOM,0,10,1018,432061,0,0DDDEFC047210500B15D0B00C8D209003A3000120B48FF71AD8351DD8D90
CIDKR0_DAY0_OP_NOM,0,10,1018,432061,1,C9C8030069651A00BECA1B0093971200C86A7056BB4694021057B288D914
CIDKR0_DAY0_OP_NOM,0,11,1018,432061,0,B9267430757F12006E2C1100D4BF0C001E9A481E389761E8685767CB9D08
CIDKR0_DAY0_OP_NOM,0,11,1018,432061,1,05EF0A00B1490400AA9605005ECC0300F3FB9569F15C589F3F48EFFEA3B5
