DSMUID,MackConfig,SVID,WNsf,TOWsf,Section 0-index,Mack bits
STEP_0,1,1,1018,432061,0,77F0C905600E0098902003EC080057A076E19FC3803F571609D9985304E0
STEP_0,1,1,1018,432061,1,A7A010010F0D00ACD13007D61400F285FE7B56511D4D94AD30111278A543
STEP_0,1,2,1018,432061,0,27C6530508190033B1400B160100A14B529FE8DF03ABED2B8E7224F26DE2
STEP_0,1,2,1018,432061,1,9D202008AB0300FE212009BE15005CD5D43FD8425E0E324240B215F57A9C
STEP_0,1,3,1018,432061,0,6028CF04BF040068802009391400A1F5789811CC49FC829C0F832BFBFF05
STEP_0,1,3,1018,432061,1,F260300C4E0A00C4309004EB0B00586E9EE84FABB61FF1634AF0B694A2A0
STEP_0,1,4,1018,432061,0,B3E3970F1B0900C64030044F05007F54EC16086A8EE81AE39CDA7CBC22D2
STEP_0,1,4,1018,432061,1,C8C040096B0B0099B1A00C561B001516D823AED076108F6A9A40A86CC7C4
STEP_0,1,5,1018,432061,0,8199040F0C0A00015040069806006D125BD0C502D95D220BD572C844EEB2
STEP_0,1,5,1018,432061,1,B830500DCC0900EC11700A211800D5658470794AF997EEF4FA2876795BFB
STEP_0,1,6,1018,432061,0,EDDB9C0E0A1A001601800CD10700E30BBC9E79279A85047CE8CC3E4420EC
STEP_0,1,6,1018,432061,1,FF70600E38050026316003C911005DDE6B56BC35E39EB9D3BDA22168C175
STEP_0,1,7,1018,432061,0,A020620B2B0600175080043118009D4DED784216247B133ED2FC56942786
STEP_0,1,7,1018,432061,1,47807000880E0096D0D003C00F006E9B028034655822A11DC9C5C3039C01
STEP_0,1,8,1018,432061,0,11531C04640D00F8901009C80700FD99B4ED3D705B5FB3CDA4D849F4560D
STEP_0,1,8,1018,432061,1,8FF0800C790F005FA1900A840C00D48999989DBAF816844E3DB70518AD81
STEP_0,1,9,1018,432061,0,417E0602D60A0042B100002E05005C5AC75C6D07129B9F2C835B1AA30E17
